verb_key	role	arg_key
40001002002	A0	40001002001
40001002002	A1	40001002004
40001002007	A0	40001002005
40001002007	A1	40001002009
40001002012	A0	40001002010
40001002012	A1	40001002014
40001002012	A1	40001002017
40001003003	A0	40001003001
40001003003	A1	40001003005
40001003003	A1	40001003008
40001003014	A0	40001003012
40001003014	A1	40001003016
40001003019	A0	40001003017
40001003019	A1	40001003021
40001004003	A0	40001004001
40001004003	A1	40001004005
40001004008	A0	40001004006
40001004008	A1	40001004010
40001004013	A0	40001004011
40001004013	A1	40001004015
40001005003	A0	40001005001
40001005003	A1	40001005005
40001005011	A0	40001005009
40001005011	A1	40001005013
40001005019	A0	40001005017
40001005019	A1	40001005021
40001006003	A0	40001006001
40001006003	A1	40001006005
40001006010	A0	40001006008
40001006010	A1	40001006012
40001007003	A0	40001007001
40001007003	A1	40001007005
40001007008	A0	40001007006
40001007008	A1	40001007010
40001007013	A0	40001007011
40001007013	A1	40001007015
40001008003	A0	40001008001
40001008003	A1	40001008005
40001008008	A0	40001008006
40001008008	A1	40001008010
40001008013	A0	40001008011
40001008013	A1	40001008015
40001009003	A0	40001009001
40001009003	A1	40001009005
40001009008	A0	40001009006
40001009008	A1	40001009010
40001009013	A0	40001009011
40001009013	A1	40001009015
40001010003	A0	40001010001
40001010003	A1	40001010005
40001010008	A0	40001010006
40001010008	A1	40001010010
40001010013	A0	40001010011
40001010013	A1	40001010015
40001011003	A0	40001011001
40001011003	A1	40001011005
40001011003	A1	40001011008
40001012007	A0	40001012006
40001012007	A1	40001012009
40001012012	A0	40001012010
40001012012	A1	40001012014
40001013003	A0	40001013001
40001013003	A1	40001013005
40001013008	A0	40001013006
40001013008	A1	40001013010
40001013013	A0	40001013011
40001013013	A1	40001013015
40001014003	A0	40001014001
40001014003	A1	40001014005
40001014008	A0	40001014006
40001014008	A1	40001014010
40001014013	A0	40001014011
40001014013	A1	40001014015
40001015003	A0	40001015001
40001015003	A1	40001015005
40001015008	A0	40001015006
40001015008	A1	40001015010
40001015013	A0	40001015011
40001015013	A1	40001015015
40001016003	A0	40001016001
40001016003	A1	40001016005
40001016011	A1	40001016012
40001018009	A1	40001018011
40001018009	A2	40001018015
40001018018	A0	40001018019
40001018023	A0	40001018011
40001019010	A0	40001019001
40001019010	A1	40001019012
40001019012	A0	40001019001
40001019012	A1	40001019011
40001019013	A1	40001019001
40001019013	A1	40001019015
40001019015	A0	40001019001
40001019015	A1	40001019016
40001020004	A1	40001020001
40001020004	A0	40001020003
40001020010	A0	40001020006
40001020010	A2	40001020011
40001020012	A0	40001020006
40001020017	A1	40001020013
40001020017	A1	40001020018
40001020018	A0	40001020013
40001020018	A1	40001020019
40001020027	A1	00000000000
40001021001	A0	40001018013
40001021001	A1	40001021003
40001021005	A0	40001020013
40001021005	A1	40001021007
40001021012	A0	40001021010
40001021012	A1	40001021014
40001022004	A0	40001022001
40001022006	A1	40001022008
40001022008	A1	00000000000
40001022014	A0	40001022010
40001023006	A0	40001023003
40001023008	A0	40001023003
40001023008	A1	40001023009
40001023011	A0	00000000000
40001023011	A1	40001023013
40001024001	A1	40001024004
40001024008	A0	40001024004
40001024010	A1	40001024011
40001024010	A0	40001024013
40001024016	A0	40001024004
40001024016	A1	40001024018
40001025003	A0	40001024004
40001025003	A1	40001025004
40001025007	A0	40001024018
40001025007	A1	40001025008
40001025010	A0	40001024004
40001025010	A1	40001025012
40002001004	A1	40002001003
40002001018	A0	40002001015
40002002001	A0	40002001015
40002002005	A1	40002002006
40002002009	A0	40002001015
40002002009	A1	40002002013
40002002018	A0	40002001015
40002002019	A0	40002001015
40002002019	A1	40002002020
40002003001	A0	40002003004
40002003006	A1	40002003004
40002004002	A0	40002003004
40002004002	A1	40002004005
40002004002	A1	40002004007
40002004010	A0	40002003004
40002004010	A1	40002004016
40002004016	A1	40002004015
