key	book	chapter	verse	word	role	case	tense	voice	mood	degree
46001001001	1CO	1	1	1		nominative				
46001001002	1CO	1	1	2		nominative				
46001001003	1CO	1	1	3		nominative				
46001001004	1CO	1	1	4		genitive				
46001001005	1CO	1	1	5		genitive				
46001001006	1CO	1	1	6						
46001001007	1CO	1	1	7		genitive				
46001001008	1CO	1	1	8		genitive				
46001001009	1CO	1	1	9						
46001001010	1CO	1	1	10		nominative				
46001001011	1CO	1	1	11		nominative				
46001001012	1CO	1	1	12		nominative				
46001002001	1CO	1	2	1		dative				
46001002002	1CO	1	2	2		dative				
46001002003	1CO	1	2	3		genitive				
46001002004	1CO	1	2	4		genitive				
46001002005	1CO	1	2	5		dative				
46001002006	1CO	1	2	6	vc	dative	present	active	participle	
46001002007	1CO	1	2	7						
46001002008	1CO	1	2	8		dative				
46001002009	1CO	1	2	9	v	dative	perfect	passive	participle	
46001002010	1CO	1	2	10						
46001002011	1CO	1	2	11		dative				
46001002012	1CO	1	2	12		dative				
46001002013	1CO	1	2	13		dative				
46001002014	1CO	1	2	14		dative				
46001002015	1CO	1	2	15						
46001002016	1CO	1	2	16		dative				
46001002017	1CO	1	2	17		dative				
46001002018	1CO	1	2	18	v	dative	present	middle	participle	
46001002019	1CO	1	2	19		accusative				
46001002020	1CO	1	2	20		accusative				
46001002021	1CO	1	2	21		genitive				
46001002022	1CO	1	2	22		genitive				
46001002023	1CO	1	2	23		genitive				
46001002024	1CO	1	2	24		genitive				
46001002025	1CO	1	2	25		genitive				
46001002026	1CO	1	2	26						
46001002027	1CO	1	2	27		dative				
46001002028	1CO	1	2	28		dative				
46001002029	1CO	1	2	29		genitive				
46001002030	1CO	1	2	30						
46001002031	1CO	1	2	31		genitive				
46001003001	1CO	1	3	1		nominative				
46001003002	1CO	1	3	2	io	dative				
46001003003	1CO	1	3	3						
46001003004	1CO	1	3	4		nominative				
46001003005	1CO	1	3	5						
46001003006	1CO	1	3	6		genitive				
46001003007	1CO	1	3	7		genitive				
46001003008	1CO	1	3	8		genitive				
46001003009	1CO	1	3	9						
46001003010	1CO	1	3	10		genitive				
46001003011	1CO	1	3	11		genitive				
46001003012	1CO	1	3	12		genitive				
46001004001	1CO	1	4	1	v		present	active	indicative	
46001004002	1CO	1	4	2		dative				
46001004003	1CO	1	4	3		dative				
46001004004	1CO	1	4	4	adv					
46001004005	1CO	1	4	5						
46001004006	1CO	1	4	6		genitive				
46001004007	1CO	1	4	7						
46001004008	1CO	1	4	8		dative				
46001004009	1CO	1	4	9		dative				
46001004010	1CO	1	4	10		genitive				
46001004011	1CO	1	4	11		genitive				
46001004012	1CO	1	4	12		dative				
46001004013	1CO	1	4	13	v	dative	aorist	passive	participle	
46001004014	1CO	1	4	14	io	dative				
46001004015	1CO	1	4	15						
46001004016	1CO	1	4	16		dative				
46001004017	1CO	1	4	17		dative				
46001005001	1CO	1	5	1						
46001005002	1CO	1	5	2						
46001005003	1CO	1	5	3		dative				
46001005004	1CO	1	5	4	v		aorist	passive	indicative	
46001005005	1CO	1	5	5						
46001005006	1CO	1	5	6		dative				
46001005007	1CO	1	5	7						
46001005008	1CO	1	5	8		dative				
46001005009	1CO	1	5	9		dative				
46001005010	1CO	1	5	10						
46001005011	1CO	1	5	11		dative				
46001005012	1CO	1	5	12		dative				
46001006001	1CO	1	6	1						
46001006002	1CO	1	6	2		nominative				
46001006003	1CO	1	6	3		nominative				
46001006004	1CO	1	6	4		genitive				
46001006005	1CO	1	6	5		genitive				
46001006006	1CO	1	6	6	v		aorist	passive	indicative	
46001006007	1CO	1	6	7						
46001006008	1CO	1	6	8		dative				
46001007001	1CO	1	7	1						
46001007002	1CO	1	7	2	s	accusative				
46001007003	1CO	1	7	3	adv					
46001007004	1CO	1	7	4	v		present	passive	infinitive	
46001007005	1CO	1	7	5						
46001007006	1CO	1	7	6		dative				
46001007007	1CO	1	7	7		dative				
46001007008	1CO	1	7	8	v	accusative	present	middlepassive	participle	
46001007009	1CO	1	7	9		accusative				
46001007010	1CO	1	7	10		accusative				
46001007011	1CO	1	7	11		genitive				
46001007012	1CO	1	7	12		genitive				
46001007013	1CO	1	7	13		genitive				
46001007014	1CO	1	7	14		genitive				
46001007015	1CO	1	7	15		genitive				
46001008001	1CO	1	8	1	s	nominative				
46001008002	1CO	1	8	2	adv					
46001008003	1CO	1	8	3	v		future	active	indicative	
46001008004	1CO	1	8	4	o	accusative				
46001008005	1CO	1	8	5						
46001008006	1CO	1	8	6		genitive				
46001008007	1CO	1	8	7	o2	accusative				
46001008008	1CO	1	8	8						
46001008009	1CO	1	8	9		dative				
46001008010	1CO	1	8	10		dative				
46001008011	1CO	1	8	11		genitive				
46001008012	1CO	1	8	12		genitive				
46001008013	1CO	1	8	13		genitive				
46001008014	1CO	1	8	14		genitive				
46001008015	1CO	1	8	15		genitive				
46001009001	1CO	1	9	1	p	nominative				
46001009002	1CO	1	9	2		nominative				
46001009003	1CO	1	9	3		nominative				
46001009004	1CO	1	9	4						
46001009005	1CO	1	9	5		genitive				
46001009006	1CO	1	9	6	v		aorist	passive	indicative	
46001009007	1CO	1	9	7						
46001009008	1CO	1	9	8		accusative				
46001009009	1CO	1	9	9		genitive				
46001009010	1CO	1	9	10		genitive				
46001009011	1CO	1	9	11		genitive				
46001009012	1CO	1	9	12		genitive				
46001009013	1CO	1	9	13		genitive				
46001009014	1CO	1	9	14		genitive				
46001009015	1CO	1	9	15		genitive				
46001009016	1CO	1	9	16		genitive				
46001010001	1CO	1	10	1	v		present	active	indicative	
46001010002	1CO	1	10	2						
46001010003	1CO	1	10	3	o	accusative				
46001010004	1CO	1	10	4	aux	vocative				
46001010005	1CO	1	10	5						
46001010006	1CO	1	10	6		genitive				
46001010007	1CO	1	10	7		genitive				
46001010008	1CO	1	10	8		genitive				
46001010009	1CO	1	10	9		genitive				
46001010010	1CO	1	10	10		genitive				
46001010011	1CO	1	10	11		genitive				
46001010012	1CO	1	10	12		genitive				
46001010013	1CO	1	10	13						
46001010014	1CO	1	10	14		accusative				
46001010015	1CO	1	10	15		accusative				
46001010016	1CO	1	10	16	v		present	active	subjunctive	
46001010017	1CO	1	10	17	s	nominative				
46001010018	1CO	1	10	18						
46001010019	1CO	1	10	19	adv					
46001010020	1CO	1	10	20	vc		present	active	subjunctive	
46001010021	1CO	1	10	21						
46001010022	1CO	1	10	22		dative				
46001010023	1CO	1	10	23	s	nominative				
46001010024	1CO	1	10	24			present	active	subjunctive	
46001010025	1CO	1	10	25						
46001010026	1CO	1	10	26		nominative	perfect	passive	participle	
46001010027	1CO	1	10	27						
46001010028	1CO	1	10	28		dative				
46001010029	1CO	1	10	29		dative				
46001010030	1CO	1	10	30		dative				
46001010031	1CO	1	10	31						
46001010032	1CO	1	10	32						
46001010033	1CO	1	10	33		dative				
46001010034	1CO	1	10	34		dative				
46001010035	1CO	1	10	35		dative				
46001011001	1CO	1	11	1	v		aorist	passive	indicative	
46001011002	1CO	1	11	2						
46001011003	1CO	1	11	3	io	dative				
46001011004	1CO	1	11	4						
46001011005	1CO	1	11	5		genitive				
46001011006	1CO	1	11	6		vocative				
46001011007	1CO	1	11	7		genitive				
46001011008	1CO	1	11	8						
46001011009	1CO	1	11	9		genitive				
46001011010	1CO	1	11	10		genitive				
46001011011	1CO	1	11	11						
46001011012	1CO	1	11	12	s	nominative				
46001011013	1CO	1	11	13						
46001011014	1CO	1	11	14		dative				
46001011015	1CO	1	11	15	vc		present	active	indicative	
46001012001	1CO	1	12	1	v		present	active	indicative	
46001012002	1CO	1	12	2						
46001012003	1CO	1	12	3	o	accusative				
46001012004	1CO	1	12	4						
46001012005	1CO	1	12	5		nominative				
46001012006	1CO	1	12	6		genitive				
46001012007	1CO	1	12	7	v		present	active	indicative	
46001012008	1CO	1	12	8	s	nominative				
46001012009	1CO	1	12	9						
46001012010	1CO	1	12	10	vc		present	active	indicative	
46001012011	1CO	1	12	11	p	genitive				
46001012012	1CO	1	12	12	s	nominative				
46001012013	1CO	1	12	13						
46001012014	1CO	1	12	14	p	genitive				
46001012015	1CO	1	12	15	s	nominative				
46001012016	1CO	1	12	16						
46001012017	1CO	1	12	17	p	genitive				
46001012018	1CO	1	12	18	s	nominative				
46001012019	1CO	1	12	19						
46001012020	1CO	1	12	20	p	genitive				
46001013001	1CO	1	13	1	v		perfect	passive	indicative	
46001013002	1CO	1	13	2		nominative				
46001013003	1CO	1	13	3		nominative				
46001013004	1CO	1	13	4						
46001013005	1CO	1	13	5	s	nominative				
46001013006	1CO	1	13	6	v		aorist	passive	indicative	
46001013007	1CO	1	13	7						
46001013008	1CO	1	13	8		genitive				
46001013009	1CO	1	13	9						
46001013010	1CO	1	13	10						
46001013011	1CO	1	13	11		accusative				
46001013012	1CO	1	13	12		accusative				
46001013013	1CO	1	13	13		genitive				
46001013014	1CO	1	13	14	v		aorist	passive	indicative	
46001014001	1CO	1	14	1	v		present	active	indicative	
46001014002	1CO	1	14	2						
46001014003	1CO	1	14	3		accusative				
46001014004	1CO	1	14	4		genitive				
46001014005	1CO	1	14	5	v		aorist	active	indicative	
46001014006	1CO	1	14	6						
46001014007	1CO	1	14	7	adv					
46001014008	1CO	1	14	8		accusative				
46001014009	1CO	1	14	9						
46001014010	1CO	1	14	10		accusative				
46001015001	1CO	1	15	1						
46001015002	1CO	1	15	2	adv					
46001015003	1CO	1	15	3	s	nominative				
46001015004	1CO	1	15	4	v		aorist	active	subjunctive	
46001015005	1CO	1	15	5						
46001015006	1CO	1	15	6						
46001015007	1CO	1	15	7		accusative				
46001015008	1CO	1	15	8		accusative				
46001015009	1CO	1	15	9		accusative				
46001015010	1CO	1	15	10	v		aorist	passive	indicative	
46001016001	1CO	1	16	1	v		aorist	active	indicative	
46001016002	1CO	1	16	2						
46001016003	1CO	1	16	3						
46001016004	1CO	1	16	4		accusative				
46001016005	1CO	1	16	5		genitive				
46001016006	1CO	1	16	6		accusative				
46001016007	1CO	1	16	7	adv	accusative				
46001016008	1CO	1	16	8	adv					
46001016009	1CO	1	16	9	v		perfect	active	indicative	
46001016010	1CO	1	16	10						
46001016011	1CO	1	16	11		accusative				
46001016012	1CO	1	16	12		accusative				
46001016013	1CO	1	16	13	v		aorist	active	indicative	
46001017001	1CO	1	17	1						
46001017002	1CO	1	17	2						
46001017003	1CO	1	17	3	v		aorist	active	indicative	
46001017004	1CO	1	17	4	o	accusative				
46001017005	1CO	1	17	5	s	nominative				
46001017006	1CO	1	17	6	v		present	active	infinitive	
